puci_col,feature,jaccard_mean,jaccard_ci95_lo,jaccard_ci95_hi,dice_mean,overlap_mean,centroid_disp_norm,pattern_pearson,pattern_spearman,vote_entropy_bits
pUCI_2_eco_livable,FC_3-D_life_density,0.43316475721200265,0.41371238206327016,0.4786226786302702,0.5894847747542101,0.5917567462058674,0.1151935147421679,0.49864708015926873,0.49864708015926873,3.6192896513768837
pUCI_2_eco_livable,AC_1-T_subway_accessibility,0.5497777043095378,0.5207237440464072,0.6053681601018465,0.6979190827058686,0.7010045677385147,0.0734838236351081,0.6325055665919437,0.6325055665919441,3.416696360967414
pUCI_2_eco_livable,AC_3-T_bus_accessibility,0.5553474353390375,0.5178352430360441,0.6104681448520315,0.7003990539803557,0.7039086100086719,0.08416288493480423,0.6356360424900542,0.6356360424900545,3.27217260065437
pUCI_2_eco_livable,CD_1-L_leisure_density,0.560694195991376,0.533328001868672,0.6073584201311518,0.7076937260723409,0.710099294819447,0.07683643562284048,0.6431947325432661,0.6431947325432661,3.149712881015382
pUCI_3_community_cohension,SP_6-E_greenery_rate,0.40479191829558475,0.3745589488596435,0.46004697460522287,0.5596792845241602,0.5628348445805964,0.09687512715392226,0.46630293639067827,0.46630293639067905,4.0065319773116865
pUCI_3_community_cohension,SP_1-D_imageability,0.4675843188954846,0.453992897557272,0.5061855358150152,0.6280454581935215,0.6314572298205458,0.06346235269552958,0.5485604234554547,0.5485604234554552,3.4467974770807386
pUCI_3_community_cohension,SP_7-E_shading_area,0.5876407925955326,0.5538358492543366,0.6464200677756643,0.7272189994863512,0.732300728620565,0.07271926117112977,0.668903445035391,0.668903445035392,3.031043378572095
pUCI_3_community_cohension,SP_3-D_human_scale,0.4678143591401842,0.437975040841344,0.5201822230460044,0.6237382655961959,0.6268416961452611,0.08155643930495915,0.5438886596499154,0.5438886596499165,3.707530802374346
pUCI_3_community_cohension,FC_3-R_life_rating,0.600112079811867,0.566493586845595,0.6480977008513917,0.7392912779456495,0.7430019325246447,0.05535287168070605,0.6823073753907981,0.6823073753907982,3.181312666163584
pUCI_3_community_cohension,FC_3-D_life_density,0.5496577153308232,0.5165025061497645,0.6019997187637015,0.6977560654784187,0.7019046503985761,0.058006394922441175,0.6318039505533142,0.6318039505533145,3.3450734210014277
pUCI_3_community_cohension,AC_1-T_subway_accessibility,0.6300225911547462,0.5939160589461642,0.6813162571196091,0.7639658162646618,0.7674853427953849,0.05573279496505567,0.71387184490582,0.7138718449058207,3.0874742800084607
pUCI_3_community_cohension,AC_3-T_bus_accessibility,0.6133474909480283,0.5923314326242186,0.6495194452060055,0.7540191297901153,0.7582860507062803,0.043320204870712545,0.702034078250784,0.7020340782507845,2.8647620854844766
pUCI_3_community_cohension,CD_1-L_leisure_density,0.6681915819123087,0.6506482980379621,0.7029534352956772,0.7974030458908853,0.8016815187928289,0.04402412653053035,0.7539831848712552,0.7539831848712563,2.8744548550461206
pUCI_4_active_walkability,SP_6-E_greenery_rate,0.35836716676429964,0.3475508983061846,0.40018088334733476,0.5119941359605239,0.5144728140689527,0.10200194193992942,0.4073689370875626,0.4073689370875633,3.790295128796941
pUCI_4_active_walkability,SP_1-D_imageability,0.49345601771566516,0.47404883803059433,0.5358084706396399,0.6478463005846258,0.6518193631426795,0.07418422615695466,0.5715976929795988,0.5715976929795991,3.112753002726047
pUCI_4_active_walkability,SP_7-E_shading_area,0.5336481989831271,0.5071397539948377,0.5794133998107026,0.6839977899412993,0.6879588426758911,0.08663909363509742,0.6161376124570241,0.6161376124570253,3.290952307776762
pUCI_4_active_walkability,SP_3-D_human_scale,0.43746274532983487,0.41696625948579213,0.4822867449579144,0.5924788750293715,0.5958491719950632,0.09516800024202668,0.5051849743033445,0.5051849743033454,3.640695073916573
pUCI_4_active_walkability,FC_3-R_life_rating,0.4830083460657076,0.4609775471680689,0.5301431318424543,0.6382385627179318,0.6406442578499792,0.07620005462709423,0.5587688546260972,0.5587688546260968,3.4417451362631497
pUCI_4_active_walkability,FC_3-D_life_density,0.45303747687233986,0.4359771616553052,0.4918332059335931,0.6115946829004872,0.6144089877296843,0.08115580180431238,0.526327541899669,0.5263275418996692,3.4982488804952423
pUCI_4_active_walkability,AC_1-T_subway_accessibility,0.5894906320531345,0.5631026764295262,0.6332021869616268,0.7338179371775266,0.7374956751603737,0.057679174530537836,0.6769773181628456,0.6769773181628461,3.0545326417750913
pUCI_4_active_walkability,AC_3-T_bus_accessibility,0.5418648388390576,0.5267648310900253,0.5762065553210994,0.694440172289142,0.6985539198978216,0.05623384205954931,0.6292460540456803,0.6292460540456809,3.222409553092092
pUCI_4_active_walkability,CD_1-L_leisure_density,0.6265407898499255,0.5994185075576288,0.6715179613268236,0.7635735543015099,0.7676360722434387,0.0487795513761541,0.7125422536651633,0.7125422536651641,3.0724936129553977
pUCI_5_tourism_strategy,SP_6-E_greenery_rate,0.38354278215379906,0.37237937522361925,0.4218071075265959,0.539017897690388,0.5417330974740248,0.1082708834594793,0.4398549174622356,0.4398549174622356,3.621295696997692
pUCI_5_tourism_strategy,SP_1-D_imageability,0.4539340181807977,0.43457530710865244,0.5000859597858787,0.6099697412318981,0.613405417412115,0.09108391310943237,0.5254786079985375,0.5254786079985371,3.3475054585160975
pUCI_5_tourism_strategy,SP_7-E_shading_area,0.6040112445300071,0.5678535639791363,0.6550798354527424,0.74375812106464,0.7475553341692811,0.0664416602534244,0.6885776405081145,0.6885776405081154,3.1381086294204414
pUCI_5_tourism_strategy,SP_3-D_human_scale,0.40010314579183714,0.38130391473773456,0.4470331898423225,0.5544567617698449,0.5566709593575387,0.11710740977283679,0.45855672465951675,0.45855672465951697,3.694211978364284
pUCI_5_tourism_strategy,FC_3-R_life_rating,0.4676117100973574,0.4302132750767945,0.527608774735123,0.6202542156408111,0.6235439229081192,0.0851017060255095,0.5368782644282136,0.536878264428214,3.653520603137494
pUCI_5_tourism_strategy,FC_3-D_life_density,0.48900797207233015,0.4572555940556791,0.5447674982692231,0.6423949762276219,0.6452339413924625,0.08467724633510759,0.5637832649481662,0.5637832649481664,3.323567688132214
pUCI_5_tourism_strategy,AC_1-T_subway_accessibility,0.5545596391745975,0.5208374985619176,0.61501864944199,0.7006381874386456,0.7045530923896817,0.07613718946097071,0.6365703020163775,0.6365703020163782,3.316410671419622
pUCI_5_tourism_strategy,AC_3-T_bus_accessibility,0.5733065272849025,0.5441923640811084,0.6248208835078631,0.7168378534226983,0.7225210553809979,0.06790162525942493,0.6564885349784793,0.6564885349784801,3.2101642987826695
pUCI_5_tourism_strategy,CD_1-L_leisure_density,0.6626811103962662,0.6453854640679981,0.6942496419494576,0.7920403863744333,0.7946498099617543,0.043827716447390856,0.7468829708957562,0.7468829708957562,2.7964438840521817
