id,longitude,latitude,eating,nature,community,walking,sightseeing,avg_comfort_score,avg_comfort_eating,avg_comfort_nature,avg_comfort_community,avg_comfort_walking,avg_comfort_sightseeing
724,103.77,1.3,3,0,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0
725,103.77,1.305,2,0,1,0,0,0.55903584,0.6598896,0.0,0.5679806,0.0,0.0
726,103.77,1.31,9,4,0,4,4,0.62204117,0.5867752,0.60602105,0.0,0.64738303,0.6875081
727,103.77,1.315,10,4,15,5,4,0.58302027,0.61581177,0.5002374,0.5684848,0.6385994,0.5323404
728,103.77,1.32,3,3,2,1,3,0.6152744,0.54826987,0.56084275,0.67861354,0.5281548,0.6575339
729,103.77,1.325,24,8,6,2,8,0.5837622,0.5963944,0.555644,0.5325726,0.4977445,0.5773624
730,103.77,1.33,2,0,4,1,1,0.5597201,0.33536625,0.0,0.6223168,0.59296393,0.6064891
731,103.77,1.335,10,1,2,6,5,0.67074883,0.70682263,0.6472023,0.628618,0.6781334,0.7030919
732,103.77,1.34,2,1,0,0,0,0.6188369,0.69422853,0.51247627,0.0,0.0,0.0
733,103.77,1.345,1,4,6,5,7,0.6117572,0.52543676,0.69104534,0.63659066,0.685481,0.5703506
734,103.77,1.35,1,8,3,6,2,0.54969513,0.72481185,0.53137076,0.5290517,0.5063618,0.551848
735,103.77,1.355,0,10,1,16,10,0.6226798,0.0,0.6280932,0.6122697,0.60025084,0.6499363
736,103.77,1.36,2,3,1,0,0,0.61499536,0.5522117,0.6812483,0.55982715,0.0,0.0
737,103.77,1.365,7,1,2,1,1,0.6259555,0.6423222,0.66083163,0.6613848,0.7840136,0.77181226
738,103.77,1.37,6,1,2,4,0,0.6170148,0.6035493,0.5895252,0.59082544,0.5874372,0.0
739,103.77,1.375,12,0,10,14,5,0.61757433,0.6353798,0.0,0.60634845,0.6178218,0.57261574
740,103.77,1.38,3,12,2,8,1,0.6605956,0.59679645,0.66477853,0.6021011,0.7427595,0.5621197
741,103.77,1.385,10,1,6,0,1,0.60168064,0.6034242,0.58651227,0.6430382,0.0,0.5767826
742,103.77,1.39,28,1,10,8,7,0.601429,0.6100784,0.5925399,0.60498285,0.58127415,0.54418474
743,103.77,1.395,0,4,1,0,2,0.5224352,0.0,0.5234045,0.5491076,0.0,0.52122736
744,103.77,1.4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
745,103.77,1.405,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
746,103.77,1.41,2,3,4,3,2,0.58646804,0.5962261,0.0,0.6364477,0.6372902,0.52262074
747,103.77,1.415,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
748,103.77,1.42,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
749,103.77,1.425,4,4,6,15,15,0.5964406,0.6272223,0.67251277,0.58806163,0.6096381,0.55135053
750,103.77,1.43,6,2,9,3,1,0.6775572,0.67642486,0.6923761,0.6943621,0.5531817,0.68271464
751,103.77,1.435,0,0,1,1,4,0.64474714,0.0,0.0,0.6138621,0.77537954,0.602973
752,103.77,1.44,3,0,3,1,1,0.62807333,0.5655746,0.0,0.6605746,0.6087876,0.0
753,103.77,1.445,7,2,14,13,10,0.6086675,0.60650104,0.5939958,0.5708597,0.6521132,0.601658
754,103.77,1.45,0,0,2,3,1,0.6481357,0.0,0.0,0.6157354,0.7030745,0.6786779
755,103.775,1.28,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
756,103.775,1.285,10,6,2,7,6,0.5790866,0.5750939,0.60849583,0.45135558,0.6256544,0.5184186
757,103.775,1.29,2,0,2,1,1,0.60831416,0.72190297,0.0,0.737645,0.61226857,0.0
758,103.775,1.295,12,0,6,3,3,0.5927456,0.56775606,0.0,0.6095195,0.71255445,0.60819995
759,103.775,1.3,1,1,5,6,4,0.5757904,0.7457324,0.58618087,0.5201146,0.5976486,0.5594026
760,103.775,1.305,1,1,1,8,4,0.60911185,0.735594,0.6274289,0.6199825,0.58431816,0.67508376
761,103.775,1.31,28,3,8,6,1,0.644145,0.6247155,0.6398203,0.63878864,0.58762866,0.6573518
762,103.775,1.315,10,10,12,4,17,0.5741459,0.6134872,0.5866294,0.5099199,0.56309754,0.5836991
763,103.775,1.32,4,3,9,1,3,0.65591383,0.48833826,0.634066,0.6819389,0.6439346,0.45914704
764,103.775,1.325,2,17,1,12,8,0.61292905,0.6191219,0.6043126,0.58651227,0.5745206,0.59499395
