embedding_index,grid_id,cluster,activity,has_text,comfort_anchor_similarity,discomfort_anchor_similarity,comfort_raw_score,comfort_score
6566,550,5,community,True,0.20780776,0.13403971,0.07376805,0.73871255
6567,550,2,walking,True,0.034699917,0.042229325,-0.0075294077,0.5032446
6568,550,6,eating,True,0.112302005,0.08142212,0.030879885,0.6144923
6569,550,6,eating,True,0.041642882,0.034311473,0.0073314086,0.54628706
6570,550,5,community,True,0.09147471,0.08375683,0.007717885,0.54740644
6571,550,5,community,True,0.030764438,0.018851444,0.011912994,0.5595571
6572,551,6,eating,True,0.05540577,0.040666346,0.014739424,0.5677435
6573,551,4,,True,0.046684552,0.03656468,0.01011987,0.55436355
6574,551,5,community,True,0.14405504,0.11182667,0.032228366,0.618398
6575,551,1,community,True,0.13658921,0.08697519,0.049614027,0.66875345
6576,551,5,community,True,0.108142525,0.075791724,0.0323508,0.61875266
6577,551,1,community,True,0.14252444,0.121756196,0.02076824,0.5852052
6578,551,0,eating,True,0.0738314,0.037379857,0.036451545,0.63062996
6579,551,6,eating,True,-0.0019645002,-0.011127492,0.009162992,0.55159205
6580,551,4,,True,0.10191961,0.049526118,0.05239349,0.6768038
6581,551,4,,True,0.045405716,0.0027842277,0.04262149,0.64850044
6582,551,4,,True,0.010169105,-0.018274931,0.028444037,0.6074372
6583,551,4,,True,0.11510029,0.055571955,0.059528332,0.697469
6584,551,2,walking,True,0.1505934,0.10043652,0.050156876,0.67032576
6585,551,1,community,True,0.122986525,0.15885761,-0.03587109,0.42115644
6586,551,2,walking,True,0.03661791,0.024457749,0.01216016,0.56027293
6587,551,6,eating,True,0.061823457,0.08823145,-0.026407994,0.44856513
6588,551,5,community,True,0.035088208,0.039589666,-0.0045014583,0.5120147
6589,551,2,walking,True,0.09352098,0.034764495,0.05875648,0.6952334
6590,551,1,community,True,0.1434289,0.08028234,0.06314657,0.70794874
6591,551,2,walking,True,0.2785629,0.27797034,0.0005925596,0.52676886
6592,551,5,community,True,0.10448009,-0.029727224,0.13420731,0.91376734
6593,551,5,community,True,0.04206479,-0.011012094,0.053076886,0.6787832
6594,551,1,community,True,-0.007922905,-0.009904141,0.001981236,0.530791
6595,551,6,eating,True,-0.059055027,-0.09108623,0.032031205,0.617827
6596,551,2,walking,False,,,,
6597,551,1,community,True,0.08567666,0.05971259,0.025964074,0.6002543
6598,551,1,community,True,0.09390095,0.100311615,-0.006410666,0.5064849
6599,551,2,walking,True,0.09800289,0.075694256,0.022308633,0.5896668
6600,551,5,community,False,,,,
6601,551,1,community,True,0.07694295,0.07654981,0.00039313734,0.52619123
6602,551,5,community,True,0.052761175,0.037254438,0.015506737,0.56996596
6603,551,5,community,True,0.1625472,0.15285397,0.009693235,0.5531278
6604,551,2,walking,False,,,,
6605,551,1,community,False,,,,
6606,551,4,,True,0.015314745,-0.029556442,0.04487119,0.65501636
6607,551,2,walking,False,,,,
6608,551,5,community,True,0.046631575,0.031538736,0.015092839,0.5687671
6609,551,5,community,False,,,,
6610,551,1,community,False,,,,
6611,551,5,community,False,,,,
6612,551,1,community,True,0.18552679,0.11868868,0.06683811,0.71864086
6613,551,1,community,True,0.11221892,0.049026236,0.06319268,0.7080823
6614,551,7,sightseeing,True,0.24242213,0.23349026,0.008931875,0.55092263
6615,551,1,community,True,0.12772724,0.068242334,0.059484906,0.6973432
6616,551,5,community,True,0.15300146,0.10098297,0.052018486,0.67571765
6617,551,6,eating,True,0.1549489,0.15425919,0.00068971515,0.52705026
6618,551,7,sightseeing,True,0.30019528,0.15798162,0.14221366,0.9369567
6619,551,4,,True,0.14118853,0.10169734,0.03949119,0.6394339
6620,551,4,,True,0.16081288,0.12195274,0.038860142,0.63760614
6621,551,3,nature,True,0.03153276,-0.021984223,0.053516984,0.6800579
6622,551,7,sightseeing,True,0.254373,0.22933216,0.02504085,0.5975803
6623,551,0,eating,True,0.06326614,-0.010721781,0.07398792,0.7393494
6624,551,5,community,True,0.15488738,0.09833901,0.056548372,0.6888379
6625,551,4,,True,0.045297842,-0.019568238,0.06486608,0.7129291
6626,551,2,walking,True,0.099778205,0.077904165,0.02187404,0.588408
6627,551,7,sightseeing,False,,,,
6628,551,4,,True,0.05423201,0.03919842,0.015033588,0.56859547
6629,551,7,sightseeing,True,0.25164813,0.19769034,0.05395779,0.6813346
6630,551,7,sightseeing,True,0.06039712,0.021430664,0.038966455,0.63791406
6631,551,0,eating,True,0.11400099,0.12700805,-0.01300706,0.48737925
6632,551,4,,False,,,,
6633,551,5,community,True,0.10145484,0.060630884,0.040823955,0.6432941
6634,551,2,walking,True,0.09253303,0.08463326,0.007899769,0.5479333
6635,551,0,eating,False,,,,
6636,551,4,,True,0.09988046,0.087302424,0.012578033,0.5614833
6637,551,5,community,True,0.041515525,0.037523538,0.0039919876,0.5366149
6638,551,0,eating,False,,,,
6639,551,6,eating,True,0.027711397,0.010928491,0.016782906,0.57366216
6640,551,6,eating,True,0.11933317,0.10836734,0.010965832,0.5568137
6641,551,5,community,True,0.025890736,0.022243481,0.0036472548,0.5356164
6642,552,7,sightseeing,False,,,,
6643,552,6,eating,True,0.13355087,0.040471453,0.09307942,0.79464555
6644,552,6,eating,True,0.051435553,0.011300568,0.040134985,0.64129853
6645,552,6,eating,True,0.06459019,0.030839384,0.03375081,0.62280756
6646,552,5,community,True,0.12958282,0.078915805,0.050667018,0.6718033
6647,552,1,community,True,0.056839593,0.0050457045,0.05179389,0.6750671
6648,552,6,eating,True,0.09949596,0.036008894,0.06348707,0.70893496
6649,552,5,community,True,0.12738705,0.07208604,0.055301003,0.68522507
6650,552,6,eating,True,-0.018523455,-0.03177715,0.013253696,0.56344026
6651,552,5,community,True,0.050421696,0.030595893,0.019825803,0.58247554
6652,552,6,eating,True,0.041480552,0.001969674,0.03951088,0.6394909
6653,552,4,,True,0.08831495,0.052441448,0.035873502,0.6289557
6654,552,4,,True,0.127691,0.13006856,-0.0023775548,0.5181663
6655,552,6,eating,True,0.18962461,0.1083418,0.08128281,0.7604781
6656,552,5,community,True,0.08838565,0.028709533,0.05967612,0.697897
6657,552,4,,True,-0.018802267,0.039027974,-0.05783024,0.35755447
6658,552,1,community,True,0.09134255,0.044769075,0.04657348,0.65994686
6659,552,4,,True,0.046563737,0.039862595,0.0067011416,0.5444616
6660,552,4,,True,0.11321284,0.11257896,0.0006338805,0.52688855
6661,552,1,community,True,0.18402949,0.14967129,0.034358203,0.62456685
6662,552,6,eating,True,-0.014615281,-0.016786091,0.0021708105,0.53134006
6663,552,6,eating,True,0.10399334,0.10576323,-0.0017698854,0.5199263
6664,552,5,community,True,0.06545274,0.05984935,0.005603388,0.5412821
6665,552,6,eating,True,0.10469596,0.11419335,-0.009497389,0.4975446
6666,552,6,eating,False,,,,
6667,552,0,eating,True,0.11014398,0.049354475,0.060789507,0.7011218
6668,552,0,eating,True,0.1955289,0.16827275,0.027256146,0.60399663
6669,552,0,eating,False,,,,
6670,552,0,eating,True,0.10555915,0.07963252,0.025926627,0.6001458
6671,552,1,community,True,0.32083252,0.26015422,0.060678303,0.70079976
6672,552,5,community,True,0.15621322,0.098406486,0.057806738,0.6924826
6673,552,2,walking,True,0.0967271,0.075507596,0.021219507,0.58651227
6674,552,2,walking,True,0.07424092,0.0042731157,0.06996781,0.7277056
6675,552,3,nature,True,0.13281569,0.09343854,0.039377145,0.6391036
6676,552,2,walking,True,0.1164823,0.07193366,0.044548646,0.6540822
6677,552,5,community,True,0.1206894,0.033815205,0.086874194,0.77667284
6678,552,4,,True,0.14304113,0.114652626,0.028388508,0.6072763
6679,552,6,eating,True,0.07888703,0.056250293,0.022636738,0.59061706
6680,552,3,nature,True,0.010180921,-0.0025569256,0.012737847,0.56194615
6681,552,2,walking,False,,,,
6682,552,6,eating,True,0.11878534,0.072393484,0.046391852,0.6594208
6683,552,1,community,True,0.093706,0.02283261,0.07087339,0.7303285
6684,553,7,sightseeing,True,0.16399038,0.20372802,-0.03973764,0.40995744
6685,553,7,sightseeing,True,0.26304224,0.25908908,0.003953159,0.5365024
6686,553,7,sightseeing,True,0.22156313,0.15395579,0.06760734,0.7208688
6687,553,7,sightseeing,True,0.1323427,0.08426729,0.048075408,0.66429704
6688,553,1,community,True,0.121020816,0.10605823,0.014962584,0.56838983
6689,553,2,walking,True,0.07495971,0.119174585,-0.044214875,0.3969897
6690,553,1,community,True,0.10492127,0.08883836,0.016082905,0.5716347
6691,553,6,eating,True,0.20795015,0.1653248,0.042625338,0.6485116
6692,553,4,,True,0.2467371,0.1942949,0.052442193,0.67694485
6693,553,4,,True,0.093317926,0.08106712,0.012250803,0.56053555
6694,553,5,community,True,0.083828904,0.040578447,0.043250456,0.65032214
6695,553,3,nature,True,0.19689423,0.17198198,0.024912253,0.59720784
6696,553,7,sightseeing,True,0.18251479,0.2543075,-0.07179272,0.3171139
6697,553,0,eating,True,0.0669561,0.059110664,0.007845439,0.5477759
6698,553,1,community,True,0.11602458,0.18523437,-0.069209784,0.32459506
6699,553,1,community,True,0.025074746,0.006986957,0.01808779,0.57744163
6700,553,6,eating,True,0.062396605,0.00953878,0.052857824,0.6781487
6701,553,5,community,True,0.041953977,0.024527093,0.017426884,0.57552737
6702,553,6,eating,True,0.039667338,0.051506087,-0.011838749,0.49076313
6703,553,1,community,True,0.069397755,0.08062492,-0.011227168,0.49253452
6704,553,1,community,True,0.017089784,0.046673227,-0.029583443,0.43936783
6705,553,6,eating,True,0.06831154,0.102516115,-0.034204572,0.4259833
6706,553,5,community,True,0.081651405,0.06559846,0.016052946,0.5715479
6707,553,7,sightseeing,True,0.063787036,0.034176737,0.029610299,0.61081517
6708,553,1,community,True,0.050016627,0.053684346,-0.0036677197,0.5144295
6709,553,6,eating,True,0.09317657,0.07268115,0.020495422,0.584415
6710,553,7,sightseeing,True,0.15569444,0.12305233,0.03264211,0.6195964
6711,553,7,sightseeing,True,0.17953806,0.1452519,0.034286156,0.6243582
6712,553,4,,True,0.05010372,0.06454227,-0.014438551,0.4832331
6713,553,6,eating,True,-0.04361692,-0.08761344,0.04399652,0.652483
6714,553,6,eating,True,0.1359898,0.0606592,0.0753306,0.74323833
6715,553,4,,True,0.020369142,0.016608354,0.0037607886,0.53594524
6716,553,5,community,True,0.016819235,0.040869366,-0.024050131,0.45539436
6717,553,5,community,True,0.061559327,0.034462612,0.027096715,0.6035349
6718,553,7,sightseeing,True,0.05575613,0.01299501,0.042761117,0.64890486
6719,553,4,,True,0.13792247,0.06927052,0.068651944,0.7238944
6720,553,1,community,True,0.14166708,0.17379059,-0.032123506,0.43201086
6721,553,0,eating,True,-0.040608156,-0.06317538,0.022567224,0.5904158
6722,553,5,community,True,-0.028523095,-0.028601179,7.808395e-05,0.52527875
6723,553,5,community,True,0.070652515,0.11595583,-0.045303315,0.39383718
6724,553,3,nature,True,0.05456559,0.025709115,0.028856475,0.60863173
6725,553,7,sightseeing,False,,,,
6726,553,7,sightseeing,True,-0.0052437074,0.10676445,-0.112008154,0.20063491
6727,553,7,sightseeing,True,0.039935626,0.05805798,-0.018122353,0.47256348
6728,553,7,sightseeing,False,,,,
6729,553,6,eating,True,0.16332687,0.18336049,-0.020033613,0.46702772
6730,554,5,community,True,0.08237781,0.048389755,0.03398805,0.62349474
6731,554,0,eating,True,0.07508062,0.0613435,0.01373712,0.56484044
6732,554,6,eating,True,0.017388277,-0.042826567,0.060214844,0.6994574
6733,554,3,nature,True,0.06820428,0.06207072,0.006133564,0.54281765
6734,554,4,,True,0.15846394,0.074848056,0.083615884,0.76723564
6735,554,0,eating,True,0.101897016,0.06638747,0.03550955,0.6279016
6736,554,0,eating,True,0.048917793,0.031775404,0.017142389,0.5747034
6737,554,6,eating,True,0.09970622,0.035357676,0.06434854,0.71143013
6738,554,3,nature,True,0.07737262,0.029335314,0.048037305,0.66418666
6739,554,6,eating,True,0.08421397,0.03841572,0.045798253,0.65770155
6740,554,6,eating,True,0.14676045,0.10207021,0.044690236,0.6544923
6741,554,0,eating,True,0.051395234,0.014990008,0.036405224,0.6304958
6742,554,6,eating,True,0.04093593,0.020164479,0.020771451,0.5852145
6743,555,5,community,True,0.0702295,0.067394465,0.0028350353,0.5332639
6744,557,5,community,True,0.10574809,0.050149824,0.055598263,0.686086
6745,557,4,,True,0.08605063,0.051006526,0.035044104,0.6265535
6746,557,5,community,False,,,,
6747,557,5,community,False,,,,
6748,557,5,community,False,,,,
6749,557,5,community,False,,,,
6750,557,5,community,False,,,,
6751,557,5,community,False,,,,
6752,557,6,eating,False,,,,
6753,557,2,walking,False,,,,
6754,557,5,community,False,,,,
6755,557,5,community,False,,,,
6756,557,0,eating,True,0.0142190065,-0.0048889127,0.01910792,0.5803963
6757,557,5,community,False,,,,
6758,557,5,community,False,,,,
6759,557,4,,False,,,,
6760,557,3,nature,True,0.2068685,0.13888241,0.067986086,0.7219658
6761,557,2,walking,True,0.04032984,0.05392157,-0.013591729,0.4856858
6762,557,1,community,True,0.07698239,0.050056394,0.026925992,0.6030404
6763,557,1,community,True,0.111419365,0.13860753,-0.027188167,0.44630545
6764,557,4,,True,0.08077347,0.08290019,-0.002126716,0.51889277
6765,557,1,community,True,0.09759641,0.05742596,0.040170446,0.6414013
6766,557,3,nature,False,,,,
6767,557,3,nature,False,,,,
6768,557,3,nature,False,,,,
6769,558,5,community,True,0.16920945,0.08919464,0.08001481,0.75680554
6770,558,2,walking,True,0.13746226,0.05244997,0.08501229,0.7712801
6771,558,0,eating,True,0.1264446,0.088602364,0.03784223,0.63465786
6772,558,3,nature,True,0.026236925,0.03639064,-0.010153715,0.49564362
