policy_thr,puci_col,feature,sens,n,T1_min,T1_max,T1_mean,T2_min,T2_max,T2_mean,T3_min,T3_max,T3_mean,T4_min,T4_max,T4_mean,score_min,score_max,score_mean
0.7,pUCI_2_eco_livable,SP_7-E_shading_area,0.3203118258980393,1676,0.0,3.0,2.661544588204638,0.0,3.0,0.7844232528945914,0.0,1.0,0.40863554222637444,0.0,1.0,0.5022355777996281,0.0,7.961727770204005,4.356838961125232
0.7,pUCI_2_eco_livable,SP_3-D_human_scale,0.20604522894758104,1676,0.0,3.0,2.661544588204638,0.0,3.0,0.7239288681331422,0.0,1.0,0.40863554222637444,0.0,1.0,0.5022355777996281,0.0,7.724419413085483,4.296344576363783
0.7,pUCI_2_eco_livable,FC_3-R_life_rating,0.08892947304109446,1676,0.0,3.0,2.661544588204638,0.0,3.0,2.2105738741298153,0.0,1.0,0.40863554222637444,0.0,1.0,0.5022355777996281,0.226571849605744,8.0,5.782989582360456
0.7,pUCI_2_eco_livable,FC_3-D_life_density,0.0404399166645557,1676,0.0,3.0,2.661544588204638,0.0,3.0,2.073239591226815,0.0,1.0,0.40863554222637444,0.0,1.0,0.5022355777996281,0.24259558847814783,8.0,5.645655299457456
0.7,pUCI_2_eco_livable,AC_1-T_subway_accessibility,0.3057403467090883,1676,0.0,3.0,2.661544588204638,0.0,3.0,0.6368932864467475,0.0,1.0,0.40863554222637444,0.0,1.0,0.5022355777996281,0.0,7.603783186226076,4.209308994677388
0.7,pUCI_2_eco_livable,AC_3-T_bus_accessibility,0.3024692644053585,1676,0.0,3.0,2.661544588204638,0.0,3.0,0.560444056926952,0.0,1.0,0.40863554222637444,0.0,1.0,0.5022355777996281,0.00010044183164305504,7.331216998649408,4.132859765157592
0.7,pUCI_2_eco_livable,CD_1-L_leisure_density,0.2510740695596306,1676,0.0,3.0,2.661544588204638,0.0,3.0,1.6002372716215953,0.0,1.0,0.40863554222637444,0.0,1.0,0.5022355777996281,0.0,8.0,5.172652979852236
0.7,pUCI_3_community_cohension,SP_6-E_greenery_rate,0.08052532533090292,1676,0.0,3.0,2.1676204362523634,0.0,3.0,0.7116895641304443,0.0,1.0,0.40863554222637444,0.0,1.0,0.5022355777996281,0.3875340049671995,7.724419413085483,3.7901811204088096
0.7,pUCI_3_community_cohension,SP_1-D_imageability,0.6093113831330561,1676,0.0,3.0,2.1676204362523634,0.0,3.0,1.0171040310810109,0.0,1.0,0.40863554222637444,0.0,1.0,0.5022355777996281,0.7700911165242579,7.593603979796616,4.095595587359377
0.7,pUCI_3_community_cohension,SP_7-E_shading_area,0.15648596631906203,1676,0.0,3.0,2.1676204362523634,0.0,3.0,0.7844232528945914,0.0,1.0,0.40863554222637444,0.0,1.0,0.5022355777996281,0.3875340049671995,7.787245763923077,3.862914809172957
0.7,pUCI_3_community_cohension,SP_3-D_human_scale,0.06001162882710771,1676,0.0,3.0,2.1676204362523634,0.0,3.0,0.7239288681331422,0.0,1.0,0.40863554222637444,0.0,1.0,0.5022355777996281,0.3875340049671995,7.724419413085483,3.802420424411508
0.7,pUCI_3_community_cohension,FC_3-R_life_rating,0.32513967635105484,1676,0.0,3.0,2.1676204362523634,0.0,3.0,2.2105738741298153,0.0,1.0,0.40863554222637444,0.0,1.0,0.5022355777996281,0.7796250207184875,8.0,5.289065430408182
0.7,pUCI_3_community_cohension,FC_3-D_life_density,0.2115952546136706,1676,0.0,3.0,2.1676204362523634,0.0,3.0,2.073239591226815,0.0,1.0,0.40863554222637444,0.0,1.0,0.5022355777996281,0.7861148553966617,8.0,5.151731147505181
0.7,pUCI_3_community_cohension,AC_1-T_subway_accessibility,0.5267365873332921,1676,0.0,3.0,2.1676204362523634,0.0,3.0,0.6368932864467475,0.0,1.0,0.40863554222637444,0.0,1.0,0.5022355777996281,0.3875340049671995,7.603783186226076,3.7153848427251135
0.7,pUCI_3_community_cohension,AC_3-T_bus_accessibility,0.5470687432397118,1676,0.0,3.0,2.1676204362523634,0.0,3.0,0.560444056926952,0.0,1.0,0.40863554222637444,0.0,1.0,0.5022355777996281,0.3875340049671995,7.331216998649408,3.6389356132053177
0.7,pUCI_3_community_cohension,CD_1-L_leisure_density,0.2174668166047874,1676,0.0,3.0,2.1676204362523634,0.0,3.0,1.6002372716215953,0.0,1.0,0.40863554222637444,0.0,1.0,0.5022355777996281,0.7796250207184875,8.0,4.6787288278999615
0.7,pUCI_4_active_walkability,SP_6-E_greenery_rate,0.06475750730450405,1676,0.0,3.0,2.1579110299359825,0.0,3.0,0.7116895641304443,0.0,1.0,0.40863554222637444,0.0,1.0,0.5022355777996281,0.0,7.80727183143254,3.780471714092429
0.7,pUCI_4_active_walkability,SP_1-D_imageability,0.3913445178166371,1676,0.0,3.0,2.1579110299359825,0.0,3.0,1.0171040310810109,0.0,1.0,0.40863554222637444,0.0,1.0,0.5022355777996281,0.04630504848005632,7.593603979796616,4.085886181042996
0.7,pUCI_4_active_walkability,SP_7-E_shading_area,0.26147493010113326,1676,0.0,3.0,2.1579110299359825,0.0,3.0,0.7844232528945914,0.0,1.0,0.40863554222637444,0.0,1.0,0.5022355777996281,0.0,7.961727770204005,3.8532054028565765
0.7,pUCI_4_active_walkability,SP_3-D_human_scale,0.09245939363289755,1676,0.0,3.0,2.1579110299359825,0.0,3.0,0.7239288681331421,0.0,1.0,0.40863554222637444,0.0,1.0,0.5022355777996281,0.0,7.724419413085483,3.7927110180951273
0.7,pUCI_4_active_walkability,FC_3-R_life_rating,0.19880500305258136,1676,0.0,3.0,2.1579110299359825,0.0,3.0,2.2105738741298153,0.0,1.0,0.40863554222637444,0.0,1.0,0.5022355777996281,0.226571849605744,8.0,5.279356024091801
0.7,pUCI_4_active_walkability,FC_3-D_life_density,0.1537166839290717,1676,0.0,3.0,2.1579110299359825,0.0,3.0,2.073239591226815,0.0,1.0,0.40863554222637444,0.0,1.0,0.5022355777996281,0.24259558847814783,8.0,5.142021741188801
0.7,pUCI_4_active_walkability,AC_1-T_subway_accessibility,0.4330257596534708,1676,0.0,3.0,2.1579110299359825,0.0,3.0,0.6368932864467474,0.0,1.0,0.40863554222637444,0.0,1.0,0.5022355777996281,0.0,7.603783186226076,3.7056754364087325
0.7,pUCI_4_active_walkability,AC_3-T_bus_accessibility,0.42224225609961175,1676,0.0,3.0,2.1579110299359825,0.0,3.0,0.560444056926952,0.0,1.0,0.40863554222637444,0.0,1.0,0.5022355777996281,0.09863760196651501,7.129144782679419,3.629226206888937
0.7,pUCI_4_active_walkability,CD_1-L_leisure_density,0.08582043089753057,1676,0.0,3.0,2.1579110299359825,0.0,3.0,1.6002372716215953,0.0,1.0,0.40863554222637444,0.0,1.0,0.5022355777996281,0.0,8.0,4.66901942158358
